,node-value,cluster-label
214,214,0
216,216,0
249,249,0
226,226,0
281,281,0
282,282,0
209,209,0
52,52,0
156,156,0
306,306,0
153,153,0
351,351,0
349,349,0
129,129,0
271,271,1
44,44,1
191,191,1
237,237,1
225,225,1
232,232,1
224,224,1
58,58,1
193,193,1
197,197,1
187,187,1
171,171,1
152,152,1
150,150,1
157,157,1
419,419,1
268,268,1
0,0,1
309,309,1
147,147,1
339,339,1
311,311,1
79,79,1
69,69,1
350,350,1
314,314,1
121,121,1
126,126,1
128,128,1
356,356,1
107,107,1
3,3,1
409,409,1
6,6,1
13,13,1
15,15,1
429,429,2
427,427,2
425,425,2
424,424,2
423,423,2
420,420,2
19,19,2
12,12,2
11,11,2
9,9,2
8,8,2
4,4,2
259,259,2
408,408,2
406,406,2
405,405,2
404,404,2
35,35,2
32,32,2
29,29,2
27,27,2
25,25,2
24,24,2
23,23,2
21,21,2
2,2,2
430,430,2
98,98,2
96,96,2
95,95,2
93,93,2
92,92,2
90,90,2
88,88,2
87,87,2
86,86,2
387,387,2
384,384,2
383,383,2
378,378,2
375,375,2
374,374,2
373,373,2
343,343,2
342,342,2
341,341,2
340,340,2
110,110,2
109,109,2
108,108,2
106,106,2
104,104,2
371,371,2
367,367,2
363,363,2
361,361,2
360,360,2
325,325,2
120,120,2
119,119,2
118,118,2
352,352,2
348,348,2
347,347,2
346,346,2
344,344,2
83,83,2
82,82,2
81,81,2
80,80,2
77,77,2
75,75,2
74,74,2
72,72,2
68,68,2
67,67,2
64,64,2
63,63,2
62,62,2
61,61,2
318,318,2
317,317,2
315,315,2
146,146,2
132,132,2
338,338,2
337,337,2
336,336,2
331,331,2
330,330,2
326,326,2
293,293,2
292,292,2
163,163,2
161,161,2
160,160,2
158,158,2
323,323,2
322,322,2
321,321,2
320,320,2
319,319,2
165,165,2
164,164,2
307,307,2
305,305,2
304,304,2
303,303,2
302,302,2
301,301,2
300,300,2
299,299,2
298,298,2
297,297,2
296,296,2
295,295,2
294,294,2
189,189,2
188,188,2
183,183,2
182,182,2
180,180,2
179,179,2
178,178,2
177,177,2
174,174,2
170,170,2
169,169,2
168,168,2
167,167,2
166,166,2
60,60,2
59,59,2
57,57,2
53,53,2
403,403,2
402,402,2
401,401,2
400,400,2
399,399,2
396,396,2
394,394,2
393,393,2
391,391,2
390,390,2
210,210,2
207,207,2
206,206,2
203,203,2
202,202,2
200,200,2
198,198,2
196,196,2
195,195,2
194,194,2
192,192,2
190,190,2
212,212,2
291,291,2
288,288,2
287,287,2
286,286,2
285,285,2
284,284,2
283,283,2
280,280,2
279,279,2
278,278,2
277,277,2
276,276,2
211,211,2
241,241,2
239,239,2
233,233,2
230,230,2
223,223,2
221,221,2
220,220,2
219,219,2
217,217,2
254,254,2
250,250,2
275,275,2
274,274,2
273,273,2
272,272,2
269,269,2
265,265,2
264,264,2
263,263,2
262,262,2
261,261,2
243,243,2
388,388,2
50,50,2
49,49,2
48,48,2
47,47,2
41,41,2
38,38,2
36,36,2
418,418,2
414,414,2
413,413,2
412,412,2
411,411,2
410,410,2
434,434,2
436,436,2
435,435,3
244,244,3
290,290,3
213,213,3
215,215,3
289,289,3
366,366,3
102,102,3
364,364,3
123,123,3
130,130,3
327,327,3
334,334,3
142,142,3
140,140,3
141,141,3
112,112,3
122,122,3
117,117,3
115,115,3
111,111,3
415,415,3
379,379,3
376,376,3
416,416,3
26,26,3
417,417,3
245,245,4
252,252,4
184,184,4
422,422,4
428,428,4
99,99,4
332,332,4
139,139,4
136,136,4
333,333,4
131,131,4
133,133,4
134,134,4
151,151,4
101,101,4
368,368,4
369,369,4
370,370,4
97,97,4
125,125,4
124,124,4
145,145,4
181,181,4
186,186,4
175,175,4
162,162,4
154,154,4
228,228,4
222,222,4
234,234,4
231,231,4
242,242,4
247,247,4
7,7,4
258,258,4
14,14,4
18,18,4
51,51,4
382,382,4
381,381,4
385,385,4
37,37,4
30,30,4
397,397,4
45,45,4
89,89,4
94,94,4
236,236,4
238,238,4
28,28,4
33,33,4
407,407,4
40,40,4
255,255,4
251,251,4
256,256,4
173,173,4
127,127,5
324,324,5
329,329,5
328,328,5
205,205,5
227,227,5
240,240,5
235,235,5
135,135,5
201,201,5
172,172,5
185,185,5
148,148,5
105,105,5
345,345,5
113,113,5
353,353,5
137,137,5
335,335,5
149,149,5
308,308,5
310,310,5
312,312,5
313,313,5
229,229,5
208,208,5
218,218,5
155,155,5
248,248,5
5,5,5
17,17,5
10,10,5
431,431,5
432,432,5
426,426,5
16,16,5
270,270,5
253,253,5
257,257,5
246,246,5
266,266,5
267,267,5
260,260,5
433,433,5
20,20,5
437,437,5
1,1,5
46,46,5
398,398,5
55,55,5
362,362,5
358,358,5
354,354,5
355,355,5
116,116,5
357,357,5
365,365,5
103,103,5
100,100,5
359,359,5
138,138,5
143,143,5
144,144,5
316,316,5
56,56,5
71,71,5
76,76,5
73,73,5
392,392,5
54,54,5
377,377,5
380,380,5
78,78,5
372,372,5
85,85,5
84,84,5
66,66,5
70,70,5
39,39,5
43,43,5
42,42,5
34,34,5
395,395,5
389,389,5
31,31,5
22,22,5
386,386,6
65,65,6
204,204,7
159,159,7
176,176,7
421,421,7
114,114,7
199,199,7
91,91,7
